"","title","state","rating","multiple_locations","description","year","word_count","year_bin","ai_info","gpt_41_primary_sub_genre","gpt_41_secondary_sub_genre","gpt_41_tertiary_sub_genre","gpt_41_protagonist_type","gpt_41_antagonist_type","gpt_41_protagonist_gender","gpt_41_antagonist_gender","gpt_41_protagonist_age","gpt_41_antagonist_age","gpt_41_setting_time","gpt_41_setting_location"
"580","Alien Outlaw","North Carolina",3,FALSE,"Aliens land in a small town where Jesse Jamison is about to have a gun show and bullets fly after the aliens start killing people. Watch out Diamond Booking agency for your next momentous event.",1985,35,"x80_90","The movie is ""Alien Outlaw"" filmed in 1985. This is the IMDb summary: Aliens land in a small town where Jesse Jamison is about to have a gun show and bullets fly after the aliens start killing people. Watch out Diamond Booking agency for your next momentous event.","sci-fi and aliens","slasher","small creatures","human","non-human entity","female","androgynous","30-50","unknown","present","small town"
"581","Another Son of Sam","North Carolina",2.9,FALSE,"A psychotic killer escapes from an insane asylum and goes on a killing spree, and the SWAT team it sent out to track him down. Kind of. Sort of.",1977,29,"x70_80","The movie is ""Another Son of Sam"" filmed in 1977. This is the IMDb summary: A psychotic killer escapes from an insane asylum and goes on a killing spree, and the SWAT team it sent out to track him down. Kind of. Sort of.","slasher","madness","phobia","human","human","male","male","30-50","30-50","present","small town"
"582","Appendage","North Carolina",5.3,FALSE,"A young fashion designer's life spirals as her darkest inner thoughts manifest into something gruesome- that won't stop growing.",2023,19,"over_20","The movie is ""Appendage"" filmed in 2023. This is the IMDb summary: A young fashion designer's life spirals as her darkest inner thoughts manifest into something gruesome- that won't stop growing.","body horror","madness","phobia","human","non-human entity","female","androgynous","18-30","unknown","present","big city"
"583","April Fool's Day","North Carolina",3.7,FALSE,"A year after an April Fool's Day prank which resulted in the death of one of their set, a group of friends find themselves targeted by someone who is out for revenge.",2008,32,"x00_10","The movie is ""April Fool's Day"" filmed in 2008. This is the IMDb summary: A year after an April Fool's Day prank which resulted in the death of one of their set, a group of friends find themselves targeted by someone who is out for revenge.","slasher","madness","home invasion","human","human","female","unknown","18-30","18-30","present","house"
"584","Backwoods","North Carolina",4.6,FALSE,"A company manager wants to take a group of young employees to a retreat in the woods to pay paintball games and practise executive tactics.. When the game starts, the group finds their training's more than a paintball game, but a fight for survival in a hostile ground whose inhabitants are maniac lunatics.",2008,53,"x00_10","The movie is ""Backwoods"" filmed in 2008. This is the IMDb summary: A company manager wants to take a group of young employees to a retreat in the woods to pay paintball games and practise executive tactics.. When the game starts, the group finds their training's more than a paintball game, but a fight for survival in a hostile ground whose inhabitants are maniac lunatics.","backwoods horror","slasher","phobia","human","human","male","male","30-50","30-50","present","forest"
"585","Balloon","North Carolina",5.9,FALSE,"A girl is receiving a treatment to overcome her balloon-related fears after she was kidnapped by Poppy the Clown as a child but everything does not go as expected.",2017,30,"x10_20","The movie is ""Balloon"" filmed in 2017. This is the IMDb summary: A girl is receiving a treatment to overcome her balloon-related fears after she was kidnapped by Poppy the Clown as a child but everything does not go as expected.","phobia","madness","slasher","human","human","female","male","18-30","30-50","present","small town"
"586","Beach Massacre at Kill Devil Hills","North Carolina",2.6,FALSE,"Stacy Phelps doesn't want to be anywhere near her abusive ex-husband the weekend that he's getting out of prison. With her best friends by her side, they decide to go away to her parent's beach house. Soon, they will be in a fight to survive the night.",2016,48,"x10_20","The movie is ""Beach Massacre at Kill Devil Hills"" filmed in 2016. This is the IMDb summary: Stacy Phelps doesn't want to be anywhere near her abusive ex-husband the weekend that he's getting out of prison. With her best friends by her side, they decide to go away to her parent's beach house. Soon, they will be in a fight to survive the night.","home invasion","slasher","phobia","human","human","female","male","30-50","30-50","present","house"
"587","Black Magic","North Carolina",5.2,FALSE,"A man is having dreams of his dead cousin who tells him he's been killed by a witch in Istanbul, North Carolina. He goes there and meets the woman and confronts her. He begins having spells of clumsiness as he pursues his cousin, who has been missing, and is convinced that the witch has put a curse on him. Meanwhile he's falling in love with her.",1992,66,"x90_00","The movie is ""Black Magic"" filmed in 1992. This is the IMDb summary: A man is having dreams of his dead cousin who tells him he's been killed by a witch in Istanbul, North Carolina. He goes there and meets the woman and confronts her. He begins having spells of clumsiness as he pursues his cousin, who has been missing, and is convinced that the witch has put a curse on him. Meanwhile he's falling in love with her.","witches","madness","possession","human","human","male","female","30-50","30-50","present","small town"
"588","Black Rainbow","North Carolina",5.9,FALSE,"A medium has a vision of a hit-man killing his target. The vision comes true, and the same hit-man is assigned to kill her. Her drunk father/manager doesn't believe she has the gift, and a curious journalist tries to protect her.",1989,44,"x80_90","The movie is ""Black Rainbow"" filmed in 1989. This is the IMDb summary: A medium has a vision of a hit-man killing his target. The vision comes true, and the same hit-man is assigned to kill her. Her drunk father/manager doesn't believe she has the gift, and a curious journalist tries to protect her.","supernatural power","slasher","madness","human with extra powers","human","female","male","18-30","30-50","present","small town"
"589","Cabin Fever","North Carolina",5.6,FALSE,"Five college graduates rent a cabin in the woods and begin to fall victim to a horrifying flesh-eating virus, which attracts the unwanted attention of the homicidal locals.",2002,29,"x00_10","The movie is ""Cabin Fever"" filmed in 2002. This is the IMDb summary: Five college graduates rent a cabin in the woods and begin to fall victim to a horrifying flesh-eating virus, which attracts the unwanted attention of the homicidal locals.","virus","body horror","backwoods horror","human","non-human entity","male","androgynous","18-30","unknown","present","forest"
"590","Cabin Fever 2: Spring Fever","North Carolina",4.3,FALSE,"A high school prom faces a deadly threat: a flesh-eating virus that spreads via a popular brand of bottled water.",2009,21,"x00_10","The movie is ""Cabin Fever 2: Spring Fever"" filmed in 2009. This is the IMDb summary: A high school prom faces a deadly threat: a flesh-eating virus that spreads via a popular brand of bottled water.","virus","body horror","phobia","human","non-human entity","male","androgynous","18-30","unknown","present","small town"
"591","Cape Fear","North Carolina",7.7,TRUE,"A lawyer's family is stalked by a man he once helped put in jail.",1962,14,"x60_70","The movie is ""Cape Fear"" filmed in 1962. This is the IMDb summary: A lawyer's family is stalked by a man he once helped put in jail.","home invasion","madness","phobia","human","human","male","male","30-50","30-50","present","small town"
"592","Cape Fear","North Carolina",7.3,FALSE,"A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him.",1991,22,"x90_00","The movie is ""Cape Fear"" filmed in 1991. This is the IMDb summary: A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him.","home invasion","madness","slasher","human","human","male","male","30-50","30-50","present","house"
"593","Cat's Eye","North Carolina",6.3,FALSE,"A stray cat is the linking element of three tales of suspense and horror.",1985,14,"x80_90","The movie is ""Cat's Eye"" filmed in 1985. This is the IMDb summary: A stray cat is the linking element of three tales of suspense and horror.","horror comedy","neo-monsters","phobia","human","non-human entity","female","androgynous","under 18","unknown","present","house"
"594","Dead Inn","North Carolina",4.8,FALSE,"When a group of escaped convicts come across and old looking inn they decide to hide out there. But the guests at this inn get a new kind of room service when a mysterious potion summons a demon and causes a bloodthirsty zombies to rise from their graves in search of live prey.",1997,53,"x90_00","The movie is ""Dead Inn"" filmed in 1997. This is the IMDb summary: When a group of escaped convicts come across and old looking inn they decide to hide out there. But the guests at this inn get a new kind of room service when a mysterious potion summons a demon and causes a bloodthirsty zombies to rise from their graves in search of live prey.","zombies","devils, demons, and hell","haunted house","human","non-human entity","male","androgynous","18-30","unknown","present","house"
"595","Death Screams","North Carolina",4.4,FALSE,"In a small town in North Carolina, a group of friends are stalked by a mysterious, machete wielding maniac.",1982,19,"x80_90","The movie is ""Death Screams"" filmed in 1982. This is the IMDb summary: In a small town in North Carolina, a group of friends are stalked by a mysterious, machete wielding maniac.","slasher","phobia","madness","human","human","female","male","18-30","30-50","present","small town"
"596","Dogs of Hell","North Carolina",4,FALSE,"A pack of Rottweilers, bred and trained by the U.S. military to kill humans, escape to ravage the peaceful mountain resort town of Lake Lure. It is up to the local sheriff to protect his small community.",1983,37,"x80_90","The movie is ""Dogs of Hell"" filmed in 1983. This is the IMDb summary: A pack of Rottweilers, bred and trained by the U.S. military to kill humans, escape to ravage the peaceful mountain resort town of Lake Lure. It is up to the local sheriff to protect his small community.","nature","slasher","phobia","human","non-human entity","male","androgynous","30-50","unknown","present","small town"
"597","Drawing Blood","North Carolina",4.1,FALSE,"A vampire artist forces an aspiring young artist to bring her victims so she can kill them then paint them with their own blood. When the lad falls in love with a young hooker, the vampire choses the poor girl as her next intended victim. He enlists the help of his elderly father to bring an end to the reign of artistic terror.",1999,63,"x90_00","The movie is ""Drawing Blood"" filmed in 1999. This is the IMDb summary: A vampire artist forces an aspiring young artist to bring her victims so she can kill them then paint them with their own blood. When the lad falls in love with a young hooker, the vampire choses the poor girl as her next intended victim. He enlists the help of his elderly father to bring an end to the reign of artistic terror.","vampire","slasher","madness","human","non-human entity","male","female","18-30","30-50","present","big city"
"598","Final Exam","North Carolina",4.7,FALSE,"A psycho killer shows up on college campus to slash up pretty co-eds and dumb jocks.",1981,17,"x80_90","The movie is ""Final Exam"" filmed in 1981. This is the IMDb summary: A psycho killer shows up on college campus to slash up pretty co-eds and dumb jocks.","slasher","madness","phobia","human","human","female","male","18-30","18-30","present","small town"
"599","Getaway","North Carolina",4.3,FALSE,"Tamara Miller has planned a weekend lake getaway with her lifelong two best friends. When she gets kidnapped by a backwoods cult, eerie and unexplained occurrences arise. Will she make it out alive or become the treasure of these deranged lunatics?",2020,41,"over_20","The movie is ""Getaway"" filmed in 2020. This is the IMDb summary: Tamara Miller has planned a weekend lake getaway with her lifelong two best friends. When she gets kidnapped by a backwoods cult, eerie and unexplained occurrences arise. Will she make it out alive or become the treasure of these deranged lunatics?","backwoods horror","folk horror","phobia","human","human","female","male","18-30","30-50","present","rural"
"600","Gore-met, Zombie Chef from Hell","North Carolina",2.8,FALSE,"A cannibal opens up a seafood restaurant, and kills and cooks people to serve to his customers.",1986,17,"x80_90","The movie is ""Gore-met, Zombie Chef from Hell"" filmed in 1986. This is the IMDb summary: A cannibal opens up a seafood restaurant, and kills and cooks people to serve to his customers.","cannibal","horror comedy","slasher","human","human","male","male","30-50","30-50","present","big city"
"601","Hannibal","North Carolina",6.8,TRUE,"Living in exile, Dr. Hannibal Lecter tries to reconnect with now disgraced F.B.I. Agent Clarice Starling, and finds himself a target for revenge from a powerful victim.",2001,27,"x00_10","The movie is ""Hannibal"" filmed in 2001. This is the IMDb summary: Living in exile, Dr. Hannibal Lecter tries to reconnect with now disgraced F.B.I. Agent Clarice Starling, and finds himself a target for revenge from a powerful victim.","cannibal","madness","slasher","human","human","female","male","30-50","50+","present","big city"
"602","I Know What You Did Last Summer","North Carolina",5.7,FALSE,"Four young friends bound by a tragic accident are reunited when they find themselves being stalked by a hook-wielding maniac in their small seaside town.",1997,26,"x90_00","The movie is ""I Know What You Did Last Summer"" filmed in 1997. This is the IMDb summary: Four young friends bound by a tragic accident are reunited when they find themselves being stalked by a hook-wielding maniac in their small seaside town.","slasher","phobia","madness","human","human","female","male","18-30","30-50","present","small town"
"603","Komodo","North Carolina",4.2,FALSE,"After witnessing his parents being killed by creatures on an island as a child, a young man is brought back to the island a few years later by his psychiatrist, only to be terrorized by the same creatures.",1999,38,"x90_00","The movie is ""Komodo"" filmed in 1999. This is the IMDb summary: After witnessing his parents being killed by creatures on an island as a child, a young man is brought back to the island a few years later by his psychiatrist, only to be terrorized by the same creatures.","nature","phobia","madness","human","non-human entity","male","androgynous","18-30","unknown","present","rural"
"604","Lost Colony: The Legend of Roanoke","North Carolina",4.1,FALSE,"In the 1580's English colonists arrive in what was to become North Carolina and find supernatural terror.",2007,18,"x00_10","The movie is ""Lost Colony: The Legend of Roanoke"" filmed in 2007. This is the IMDb summary: In the 1580's English colonists arrive in what was to become North Carolina and find supernatural terror.","classic and mythological","ghost and spirits","folk horror","human","non-human entity","male","androgynous","30-50","unknown","past","rural"
"605","Maxiumum Overdrive","North Carolina",5.4,FALSE,"A group of people try to survive when machines start to come alive and become homicidal.",1986,16,"x80_90","The movie is ""Maxiumum Overdrive"" filmed in 1986. This is the IMDb summary: A group of people try to survive when machines start to come alive and become homicidal.","neo-monsters","splatter","horror comedy","human","non-human entity","male","androgynous","18-30","unknown","present","small town"
"606","Meat Weed Madness","North Carolina",3.5,FALSE,"Four lovely southern belles smoke the meat weed and then face off against Bullpucky and his family of hillbilly hipster drug fiends!",2006,22,"x00_10","The movie is ""Meat Weed Madness"" filmed in 2006. This is the IMDb summary: Four lovely southern belles smoke the meat weed and then face off against Bullpucky and his family of hillbilly hipster drug fiends!","backwoods horror","horror comedy","cannibal","human","human","female","male","18-30","30-50","present","rural"
"607","Miner's Mountain","North Carolina",6.7,FALSE,"A Sheriff comes under fire when two F.B.I. Agents question his involvement in an unsolved murder that shares distinct similarities with a recent homicide.",2019,24,"x10_20","The movie is ""Miner's Mountain"" filmed in 2019. This is the IMDb summary: A Sheriff comes under fire when two F.B.I. Agents question his involvement in an unsolved murder that shares distinct similarities with a recent homicide.","madness","slasher","phobia","human","human","male","male","30-50","30-50","present","rural"
"608","Tethered","North Carolina",4.8,FALSE,"In the film set miles from civilization, a blind teenager and the hunter he befriends are tormented by a mysterious creature lurking in the woods.",2022,25,"over_20","The movie is ""Tethered"" filmed in 2022. This is the IMDb summary: In the film set miles from civilization, a blind teenager and the hunter he befriends are tormented by a mysterious creature lurking in the woods.","neo-monsters","phobia","backwoods horror","human","non-human entity","male","androgynous","under 18","unknown","present","forest"
"609","The Angry Black Girl and Her Monster","North Carolina",5.1,FALSE,"Vicaria is a brilliant teenager who believes death is a disease that can be cured. After the brutal murder of her brother, she embarks on a dangerous journey to bring him back to life.",2023,34,"over_20","The movie is ""The Angry Black Girl and Her Monster"" filmed in 2023. This is the IMDb summary: Vicaria is a brilliant teenager who believes death is a disease that can be cured. After the brutal murder of her brother, she embarks on a dangerous journey to bring him back to life.","classic and mythological","body horror","madness","human","non-human entity","female","androgynous","under 18","unknown","present","small town"
"610","The Birds II: Land's End","North Carolina",3.3,FALSE,"Birds go berserk and turn against mankind.",1994,7,"x90_00","The movie is ""The Birds II: Land's End"" filmed in 1994. This is the IMDb summary: Birds go berserk and turn against mankind.","nature","neo-monsters","phobia","human","non-human entity","male","androgynous","30-50","unknown","present","rural"
"611","The Body Shop","North Carolina",3.7,FALSE,"Emminent plastic surgeon and mad scientist Don Brandon loses his wife Anitra - pinup model and social butterfly - in a tragic accident. He and his faithful humpbacked and drooling assistant Igor - oops, I mean Greg - busy themselves experimenting with re-animation experiments. Once ready, the good Doctor begins luring young women back to the lab with hypnosis in order to gather select parts to create a New and Improved Anitra.",1972,69,"x70_80","The movie is ""The Body Shop"" filmed in 1972. This is the IMDb summary: Emminent plastic surgeon and mad scientist Don Brandon loses his wife Anitra - pinup model and social butterfly - in a tragic accident. He and his faithful humpbacked and drooling assistant Igor - oops, I mean Greg - busy themselves experimenting with re-animation experiments. Once ready, the good Doctor begins luring young women back to the lab with hypnosis in order to gather select parts to create a New and Improved Anitra.","body horror","madness","splatter","human","human","male","male","30-50","30-50","present","house"
"612","The Boneyard","North Carolina",5.6,FALSE,"Children turned into zombies wreak havoc in a coroner’s building with just a burned-out psychic, an experienced cop and two coroners to stop the madness.",1991,26,"x90_00","The movie is ""The Boneyard"" filmed in 1991. This is the IMDb summary: Children turned into zombies wreak havoc in a coroner’s building with just a burned-out psychic, an experienced cop and two coroners to stop the madness.","zombies","neo-monsters","madness","human with extra powers","non-human entity","female","androgynous","30-50","under 18","present","house"
"613","The Crying Child","North Carolina",4.7,FALSE,"After their child's death,a couple goes to stay in an island home. The woman starts to hear a baby crying and is followed by an old blind woman who warns her to get out of of the house before it is too late.",1996,44,"x90_00","The movie is ""The Crying Child"" filmed in 1996. This is the IMDb summary: After their child's death,a couple goes to stay in an island home. The woman starts to hear a baby crying and is followed by an old blind woman who warns her to get out of of the house before it is too late.","haunted house","ghost and spirits","madness","human","non-human entity","female","androgynous","30-50","unknown","present","house"
"614","The Dark Power","North Carolina",3.5,FALSE,"The spirits of dead Indians are haunting a couple's house, and they call in an exorcist, whose trademark is a black whip, to get rid of them.",1985,27,"x80_90","The movie is ""The Dark Power"" filmed in 1985. This is the IMDb summary: The spirits of dead Indians are haunting a couple's house, and they call in an exorcist, whose trademark is a black whip, to get rid of them.","ghost and spirits","haunted house","possession","human","non-human entity","male","androgynous","30-50","unknown","present","house"
"615","The Descent","North Carolina",7.2,FALSE,"A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators.",2005,20,"x00_10","The movie is ""The Descent"" filmed in 2005. This is the IMDb summary: A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators.","phobia","neo-monsters","splatter","human","non-human entity","female","androgynous","18-30","unknown","present","forest"
"616","The Descent: Part 2","North Carolina",5.8,FALSE,"Refusing to believe her story about cave-dwelling monsters, the sole survivor of a spelunking exploration gone horribly wrong is forced to follow the authorities back into the caves where something awaits.",2009,32,"x00_10","The movie is ""The Descent: Part 2"" filmed in 2009. This is the IMDb summary: Refusing to believe her story about cave-dwelling monsters, the sole survivor of a spelunking exploration gone horribly wrong is forced to follow the authorities back into the caves where something awaits.","phobia","neo-monsters","splatter","human","non-human entity","female","androgynous","18-30","unknown","present","forest"
"617","The Disappointments Room","North Carolina",3.9,FALSE,"A mother and her young son release unimaginable horrors from the attic of their rural dream home.",2016,17,"x10_20","The movie is ""The Disappointments Room"" filmed in 2016. This is the IMDb summary: A mother and her young son release unimaginable horrors from the attic of their rural dream home.","haunted house","ghost and spirits","phobia","human","non-human entity","female","androgynous","30-50","unknown","present","house"
"618","The Evil Inside Her","North Carolina",3.5,FALSE,"What's supposed to be a relaxing weekend for four friends quickly turns into a fight for survival in the middle of the North Carolina wilderness.",2019,25,"x10_20","The movie is ""The Evil Inside Her"" filmed in 2019. This is the IMDb summary: What's supposed to be a relaxing weekend for four friends quickly turns into a fight for survival in the middle of the North Carolina wilderness.","backwoods horror","phobia","slasher","human","human","female","male","18-30","18-30","present","forest"
"619","The Gravedancers","North Carolina",5.4,FALSE,"After a night of drunken exploits, Allison, Harris, and Kira are chased and terrorized by the ghosts of a child pyromaniac, an ax murderer, and a rapist.",2006,27,"x00_10","The movie is ""The Gravedancers"" filmed in 2006. This is the IMDb summary: After a night of drunken exploits, Allison, Harris, and Kira are chased and terrorized by the ghosts of a child pyromaniac, an ax murderer, and a rapist.","ghost and spirits","slasher","phobia","human","non-human entity","unknown","androgynous","18-30","unknown","present","unknown"
"620","The Houses October Built 2","North Carolina",4.6,TRUE,"Recovering from the trauma of being kidnapped last Halloween by the Blue Skeleton, five friends head back out to visit more haunted house attractions. But when signs of the Blue Skeleton start appearing again a new terror begins.",2017,38,"x10_20","The movie is ""The Houses October Built 2"" filmed in 2017. This is the IMDb summary: Recovering from the trauma of being kidnapped last Halloween by the Blue Skeleton, five friends head back out to visit more haunted house attractions. But when signs of the Blue Skeleton start appearing again a new terror begins.","found footage","madness","haunted house","human","human","female","unknown","18-30","unknown","present","house"
"621","The Jailhouse","North Carolina",3.5,FALSE,"In Colton, Deputy Seth Delray is hired by Sheriff Hooper and he temporarily moves with his wife Grace (Siri Baruc) and their two children to an old jailhouse while the constructor Calvin repairs their house. When the local prison has a problem, six inmates are transferred to the soundproof jailhouse that is considered cursed and is located on the second floor of the house. Seth finds the badge of the former sheriff that was murdered in the jailhouse and soon he is possessed by an evil spirit and starts killing the inmates.",2009,92,"x00_10","The movie is ""The Jailhouse"" filmed in 2009. This is the IMDb summary: In Colton, Deputy Seth Delray is hired by Sheriff Hooper and he temporarily moves with his wife Grace (Siri Baruc) and their two children to an old jailhouse while the constructor Calvin repairs their house. When the local prison has a problem, six inmates are transferred to the soundproof jailhouse that is considered cursed and is located on the second floor of the house. Seth finds the badge of the former sheriff that was murdered in the jailhouse and soon he is possessed by an evil spirit and starts killing the inmates.","possession","haunted house","slasher","possessed human","non-human entity","male","androgynous","30-50","unknown","present","house"
"622","The Legend of Hillbilly John","North Carolina",5.6,FALSE,"A wandering ballad singer in the Appalachians meets an ugly bird-type creature, is transported back in time, finds himself involved in the Devil's work.",1972,25,"x70_80","The movie is ""The Legend of Hillbilly John"" filmed in 1972. This is the IMDb summary: A wandering ballad singer in the Appalachians meets an ugly bird-type creature, is transported back in time, finds himself involved in the Devil's work.","folk horror","devils, demons, and hell","classic and mythological","human","non-human entity","male","androgynous","18-30","unknown","past","rural"
"623","The Mutilator","North Carolina",5.3,FALSE,"A teenager who accidentally committed matricide finds himself being hunted together with his girlfriend and mates by his now crazed father.",1984,21,"x80_90","The movie is ""The Mutilator"" filmed in 1984. This is the IMDb summary: A teenager who accidentally committed matricide finds himself being hunted together with his girlfriend and mates by his now crazed father.","slasher","madness","phobia","human","human","male","male","18-30","50+","present","house"
"624","The Night Flier","North Carolina",6,FALSE,"A reporter is on the trail of a vampiric murderer who travels by plane.",1997,14,"x90_00","The movie is ""The Night Flier"" filmed in 1997. This is the IMDb summary: A reporter is on the trail of a vampiric murderer who travels by plane.","vampire","slasher","phobia","human","non-human entity","male","male","30-50","50+","present","small town"
"625","The Passion of Darkly Noon","North Carolina",5.8,FALSE,"A young man who has spent his life as a member of an ultraconservative Christian cult loses his parents and becomes disoriented, wandering into a forest and meeting a coffin transporter, a caring woman, her mute boyfriend, and his mother.",1995,40,"x90_00","The movie is ""The Passion of Darkly Noon"" filmed in 1995. This is the IMDb summary: A young man who has spent his life as a member of an ultraconservative Christian cult loses his parents and becomes disoriented, wandering into a forest and meeting a coffin transporter, a caring woman, her mute boyfriend, and his mother.","madness","phobia","folk horror","human","human","male","unknown","18-30","unknown","present","forest"
"626","The Remaining","North Carolina",4.3,FALSE,"Friends gather at a wedding, but the celebration's shattered by terrifying apocalyptic events, which force them to re-examine life, choices they've made...",2014,23,"x10_20","The movie is ""The Remaining"" filmed in 2014. This is the IMDb summary: Friends gather at a wedding, but the celebration's shattered by terrifying apocalyptic events, which force them to re-examine life, choices they've made...","post-apocalyptic","devils, demons, and hell","phobia","human","non-human entity","female","androgynous","18-30","unknown","present","big city"
"627","The Taking of Deborah Logan","North Carolina",6,FALSE,"An elderly woman battling Alzheimer's disease agrees to let a film crew document her condition, but what they discover is something far more sinister going on. ",2014,26,"x10_20","The movie is ""The Taking of Deborah Logan"" filmed in 2014. This is the IMDb summary: An elderly woman battling Alzheimer's disease agrees to let a film crew document her condition, but what they discover is something far more sinister going on. ","possession","found footage","madness","human","possessed human","female","female","50+","50+","present","house"
"628","Trick or Treat","North Carolina",5.8,FALSE,"A bullied teenage boy is devastated after the death of his heavy metal idol, Sammi Curr. But as Hallowe'en night approaches, he discovers that he may be the only one who can stop Sammi from making a Satanic comeback from beyond the grave.",1986,43,"x80_90","The movie is ""Trick or Treat"" filmed in 1986. This is the IMDb summary: A bullied teenage boy is devastated after the death of his heavy metal idol, Sammi Curr. But as Hallowe'en night approaches, he discovers that he may be the only one who can stop Sammi from making a Satanic comeback from beyond the grave.","devils, demons, and hell","ghost and spirits","supernatural power","human","non-human entity","male","male","under 18","30-50","present","small town"
"629","Vacancy 2: The First Cut","North Carolina",4.9,FALSE,"Three young people check into the Meadow View Inn for a night's rest, fully unaware of the inn's sick-minded employees and their nefarious intentions.",2008,25,"x00_10","The movie is ""Vacancy 2: The First Cut"" filmed in 2008. This is the IMDb summary: Three young people check into the Meadow View Inn for a night's rest, fully unaware of the inn's sick-minded employees and their nefarious intentions.","slasher","torture","phobia","human","human","unknown","male","18-30","30-50","present","house"
"630","Vampires Anonymous","North Carolina",5,FALSE,"A vampire trying to get away from his ""eating habits"", joins a 12-step program.",2003,15,"x00_10","The movie is ""Vampires Anonymous"" filmed in 2003. This is the IMDb summary: A vampire trying to get away from his ""eating habits"", joins a 12-step program.","vampire","horror comedy","madness","non-human entity","non-human entity","male","androgynous","30-50","unknown","present","small town"
"631","Whiskey Mountain","North Carolina",5.1,FALSE,"Bill, Dan, Diana, and Jamie, four motorcyclists who arrived at Whiskey Mountain for a treasure hunt, are terrorized in the woods by a gang of murderous hillbilly drug dealers.",1977,29,"x70_80","The movie is ""Whiskey Mountain"" filmed in 1977. This is the IMDb summary: Bill, Dan, Diana, and Jamie, four motorcyclists who arrived at Whiskey Mountain for a treasure hunt, are terrorized in the woods by a gang of murderous hillbilly drug dealers.","backwoods horror","slasher","phobia","human","human","male","male","18-30","30-50","present","rural"
"632","Wolfman","North Carolina",3,FALSE,"A man finds out that his family has a werewolf curse put upon them.",1979,14,"x70_80","The movie is ""Wolfman"" filmed in 1979. This is the IMDb summary: A man finds out that his family has a werewolf curse put upon them.","werewolf","classic and mythological","phobia","human","non-human entity","male","androgynous","30-50","30-50","present","rural"
"633","Your Last Summer: A Fan Film","North Carolina",7.7,FALSE,"This short not-for-profit fan film follows I Know What You Did Last Summer. Jesse shows Hank an ominous note from someone who knows their secret. The Southport Slasher Ben Willis sent a similar note to Julie James 25 years ago. Is he back?",2023,45,"over_20","The movie is ""Your Last Summer: A Fan Film"" filmed in 2023. This is the IMDb summary: This short not-for-profit fan film follows I Know What You Did Last Summer. Jesse shows Hank an ominous note from someone who knows their secret. The Southport Slasher Ben Willis sent a similar note to Julie James 25 years ago. Is he back?","slasher","madness","phobia","human","human","male","male","18-30","50+","present","small town"
"634","Zombie Cheerleader Camp","North Carolina",2.7,FALSE,"Its Brains, B-R-A-I-N-S and pass the pom poms as Horror ensues when a camp full of air headed cheerleaders face a contagious Zombie Virus.",2007,29,"x00_10","The movie is ""Zombie Cheerleader Camp"" filmed in 2007. This is the IMDb summary: Its Brains, B-R-A-I-N-S and pass the pom poms as Horror ensues when a camp full of air headed cheerleaders face a contagious Zombie Virus.","zombies","virus","horror comedy","human","non-human entity","female","androgynous","18-30","unknown","present","rural"
"635","Axe","North Carolina",4.8,FALSE,"Three criminals on a murder spree arrives at a farmhouse, where a girl is living with her paralyzed grandfather.",1977,19,"x70_80","The movie is ""Axe"" filmed in 1977. This is the IMDb summary: Three criminals on a murder spree arrives at a farmhouse, where a girl is living with her paralyzed grandfather.","home invasion","backwoods horror","phobia","human","human","female","male","under 18","30-50","present","rural"
"636","4 Cheerleaders of the Apocalypse","North Dakota",5.5,FALSE,"Bizarre and unspeakable events begin unfolding at Yorktown, North Dakota Vo-Tech, where cheerleading coach Rebecca and new biology teacher Alex Sharpe ""join forces"" to face the evil. A pitch-forked farmer and a doom-saying Elvis foretell the outlandish horror to come when classrooms turn to bloody battlegrounds pitting teacher against pupil, leading our two valiant heroes on a hilarious, nightmarish adventure to discover the terrifying truth behind the carnage, madness and devilishly sexy goings-on.",1997,77,"x90_00","The movie is ""4 Cheerleaders of the Apocalypse"" filmed in 1997. This is the IMDb summary: Bizarre and unspeakable events begin unfolding at Yorktown, North Dakota Vo-Tech, where cheerleading coach Rebecca and new biology teacher Alex Sharpe ""join forces"" to face the evil. A pitch-forked farmer and a doom-saying Elvis foretell the outlandish horror to come when classrooms turn to bloody battlegrounds pitting teacher against pupil, leading our two valiant heroes on a hilarious, nightmarish adventure to discover the terrifying truth behind the carnage, madness and devilishly sexy goings-on.","horror comedy","madness","devils, demons, and hell","human","non-human entity","female","androgynous","30-50","unknown","present","small town"
"637","Butchers","North Dakota",4.6,FALSE,"A family of sadistic butchers has dug into the back country and, from the deep freeze of winter to the dog days of summer, anyone who crosses their path is dead meat.",2020,32,"over_20","The movie is ""Butchers"" filmed in 2020. This is the IMDb summary: A family of sadistic butchers has dug into the back country and, from the deep freeze of winter to the dog days of summer, anyone who crosses their path is dead meat.","backwoods horror","slasher","torture","human","human","unknown","male","18-30","30-50","present","rural"
